name	place	lat	lon
@giulianabaggio1	VEN, Italia	45.6476663	11.8665254
@givezerofx	Houston, Harris County, Texas, USA	29.7589382	-95.3676974
@GouldenDreams	Sydney, NSW, Australia	-33.8548157	151.2164539
@guscraw	Florida, USA	27.7567667	-81.4639835
@gyer2004	パレス, 稚内天塩線, 稚内市, 天塩郡 (Teshio District), 宗谷総合振興局, 北海道, 北海道地方, 097-0024, 日本	45.405745	141.673148
@HarperStreet	Seattle, King County, Washington, USA	47.6038321	-122.3300624
@Heals4Cheese	Somewhere in Time Lane, Greene Township, Pike County, Pennsylvania, USA	41.314149	-75.211093
@heybowiee	Tuscaloosa County, Alabama, USA	33.2668398	-87.4862182
@hollyflannery	London, Säby, Enköping, Uppsala län, Svealand, Sverige	59.50384205	17.3857412245012
@Holtarna	Texas, USA	31.8160381	-99.5120986
@HoodratHyena	ירושלים, מחוז ירושלים, ישראל	31.778345	35.2250786
@HW_BEAT_THAT	Quezon City, District IV, Quezon City, Metro Manila, 1100, Philippines	14.6509905	121.0486155
@IanHamlett	North, Riseley, Bedford, East of England, England, MK44 2YP, UK	52.2370231	-0.4686149
@iceloops123	Greater Toronto International Internet Exchange (GTIIX), 151, Front Street West, Financial District, Old Toronto, Toronto, Ontario, M5J 2L6, Canada	43.6446627	-79.3837855
@IcoloSky	العالم, دبي, دبي‎, الإمارات العربية المتحدة	25.2529955	55.1771471150149
@iEazyi	Miami International Airport, 2100, Northwest 18th Street, Miami Springs, Alameda, Miami-Dade County, Florida, 33142, USA	25.7949789	-80.2867234109541
@ignatiusmy	Miri, Taman Tunku, Bakam, Miri, Sarawak, Malaysia	4.3105438	113.9896873
@ilsoranese	Milano, MI, LOM, Italia	45.4667971	9.1904984
@imcarolyn	Earth, Lamb County, Texas, USA	34.2331373	-102.4107493
@iosminer	USA	39.7837304	-100.4458825
@jagax	Costa Rica	10.2735633	-84.0739102
@JamesGtfoVine	England, UK	52.7954791	-0.540240286617432
@jamesjenkins412	USA	39.7837304	-100.4458825
@jameswhite09	Dublin, County Dublin, Leinster, Ireland	53.3497645	-6.2602732
@jawesomeberg	Canada	61.0666922	-107.9917071
@jeffersoonf_	Brasil	-10.3333333	-53.2
@jigsawsecent	North Carolina, USA	35.6729639	-79.0392919
@jimothyrussell1	Portland, Multnomah County, Oregon, USA	45.5202471	-122.6741949
@jkru5	Seattle, King County, Washington, USA	47.6038321	-122.3300624
@joaquin_vique	Montevideo, Uruguay	-34.9059039	-56.1913569
@JohnFreemanGG	Hell, Livingston County, Michigan, USA	42.4347571	-83.9849477
@johnherna	Pennsylvania, USA	40.9699889	-77.7278831
@JohnRiche	Mount Pearl, Newfoundland and Labrador, Canada	47.5185206	-52.8061093
@JoshuaPatz	San Diego, San Diego County, California, USA	32.7174209	-117.1627714
@jtyost2	New Hampshire, USA	43.4849133	-71.6553992
@justinchines	🎄🌲ZAFAR PARK🌴🌳⚽️🏃‍♂️🏓🏑🏏🏸🤼‍♀️🏋🏽‍♀️⛹🏻‍♂️🏌🏻‍♀️🏹, National Highway 45, Malakand, Mardān District, خیبر پختونخوا, ‏پاکستان‎	34.6211536	71.9807149
@jwil1	New Zealand/Aotearoa	-41.5000831	172.8344077
@kakarotocm	Brasil	-10.3333333	-53.2
@Karmic_Mishap	New Mexico, USA	34.5708167	-105.993007
